min Inj Time,max Inj Time,DTD %,Career Ending Possible Bool,While Pitching/Throwing Bool,While Running/Sliding Bool,Collision Bool,HBP/Fight Bool,Illness Bool,Body Part Code,Diagnosis,descriptive phrase,frequency (1 = rare .. 5 = common),New body part,Chance of re-injury (0 = none. 1 = sometimes. 2 = often),Nagging (0 or 1),Requires surgery (0 = no. 1 = sometimes. 2 = yes),Influence on hitting (0 .. 3),Influence on running (0 .. 3),Influence on throwing  (0 .. 3),,
10,25,0,0,1,0,0,0,0,1,肩鎖關節刺激,肩部 AC 關節發炎,1,9,0,1,0,0,0,2,,
45,89,0,0,1,0,0,0,0,1,急性肘部酸痛,急性肘部酸痛,3,8,2,1,1,0,0,3,,
2,6,0,0,0,0,0,0,1,4,過敏反應,對藥物的過敏反應,1,10,0,0,0,1,1,1,,
21,42,0,0,0,0,0,0,1,4,闌尾切除術,闌尾炎,1,10,0,0,0,1,1,1,,
100,150,0,0,1,0,0,0,0,1,關節炎肘,關節炎肘,1,8,2,1,0,0,0,3,,
3,5,20,0,0,0,0,0,1,4,哮喘,哮喘,1,11,0,0,0,1,2,0,,
7,90,0,0,1,0,0,0,0,1,二頭肌腱炎,二頭肌腱炎,2,10,1,1,0,0,0,3,,
30,90,0,0,0,0,1,0,0,2,骨挫傷（膝蓋）,傷痕累累的膝蓋骨,2,6,0,0,0,0,3,0,,
15,25,0,0,0,0,1,1,0,1,骨挫傷（手腕）,受傷的手腕,2,7,0,0,0,0,0,3,,
30,100,0,0,1,0,0,0,0,1,骨片（肘）,他肘部的骨片,3,8,0,0,1,0,0,3,,
35,65,0,0,0,0,1,1,0,1,骨髓水腫（手腕）,手腕骨髓水腫,1,7,0,0,0,0,0,3,,
35,65,0,0,0,0,1,1,0,1,骨髓水腫（膝蓋）,膝蓋骨髓水腫,1,7,0,0,0,0,3,0,,
15,75,0,0,1,0,0,0,0,1,骨刺（肘部）,肘部骨刺,2,8,0,0,1,0,0,3,,
120,270,0,0,0,1,1,1,0,1,肘部骨折,肘部骨折,3,8,0,0,1,0,0,3,,
30,60,0,0,0,0,1,1,0,3,鎖骨骨折,鎖骨骨折,1,5,0,0,0,2,2,2,,
48,80,0,0,0,0,1,1,0,1,斷骨,他手腕上的一根斷骨,4,7,0,1,1,2,0,1,,
60,120,0,0,0,1,1,1,0,1,斷手,斷手,3,7,0,0,1,1,0,3,,
120,270,0,0,0,1,1,1,0,1,膝蓋骨骨折,膝蓋骨骨折,3,2,0,0,1,0,3,0,,
3,5,0,0,0,0,1,1,0,4,斷鼻子,鼻子壞了,1,11,0,0,0,1,1,1,,
4,8,25,0,0,0,0,0,1,4,支氣管炎,支氣管炎,1,0,0,0,0,1,2,1,,
8,16,25,0,0,0,1,0,0,3,鎖骨瘀傷,瘀傷的鎖骨,2,5,0,0,0,2,1,2,,
6,16,25,0,0,0,1,0,0,3,肺淤青,肺淤青,1,5,0,0,0,1,2,1,,
